raw_id,size,max,sat,scale,exp
12,3x3x3x32,0.04733728 0.062274404 0.041660774 0.04515972 0.03980381 0.033355042 0.030612243 0.08646048 0.17847912 0.026450668 0.08042426 0.078061804 0.014177959 0.05446876 0.20444453 0.14398806 0.06945483 0.12439892 0.025952555 0.23339193 0.06501717 0.06695684 0.026580995 0.04523749 0.14900742 0.03260636 0.05050034 0.044231527 0.15510681 0.12573154 0.057133943 0.027477438,0.0473315 0.062266804 0.04165569 0.045154206 0.039798953 0.033350974 0.030608509 0.08644993 0.17845735 0.02644744 0.08041444 0.07805228 0.014176229 0.05446211 0.20441957 0.14397047 0.069446355 0.12438374 0.025949387 0.23336343 0.06500924 0.06694867 0.026577752 0.04523197 0.14898923 0.03260238 0.050494175 0.04422613 0.15508787 0.12571621 0.057126973 0.027474083,0.00037268898 0.0004902898 0.00032799755 0.00035554494 0.0003133776 0.0002626061 0.00024101188 0.0006807081 0.001405176 0.00020824755 0.00063318457 0.0006145849 0.00011162385 0.0004288355 0.001609603 0.0011336257 0.0005468217 0.0009793995 0.00020432589 0.0018375074 0.00051188376 0.0005271549 0.00020927364 0.00035615722 0.0011731435 0.00025671168 0.00039759194 0.00034823723 0.0012211644 0.0009898914 0.00044981868 0.00021633136,
13,32,,,0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003 0.0065280003,14 13 14 14 14 14 15 13 12 15 13 13 16 14 12 12 13 12 15 12 13 13 15 14 12 14 14 14 12 12 14 15
18,3x3x32x64,0.09730595 0.18581499 0.18266982 0.18244803 0.14988685 0.06633126 0.14141917 0.1363468 0.17939001 0.18148436 0.23762314 0.16212942 0.13813898 0.13204694 0.2000464 0.30753377 0.21094525 0.22371018 0.20317517 0.15183364 0.11034414 0.12402002 0.088717155 0.13354026 0.26356256 0.32729375 0.14962812 0.1394126 0.18359503 0.28227755 0.13592008 0.21163888 0.17561303 0.15616092 0.12241278 0.20637552 0.29685715 0.16172132 0.20121649 0.10942803 0.08002722 0.16761939 0.23785837 0.20445739 0.098891504 0.22959404 0.10677295 0.15482959 0.15234752 0.27194065 0.20042951 0.25041863 0.1855806 0.15270829 0.10032479 0.17920847 0.25404015 0.21177076 0.13488607 0.098800704 0.14667504 0.25519544 0.26523027 0.17896076,0.09729408 0.18579231 0.18264753 0.18242577 0.14986856 0.06632317 0.14140192 0.13633017 0.17936812 0.1814622 0.23759414 0.16210963 0.13812211 0.13203081 0.20002198 0.30749622 0.21091951 0.22368288 0.20315038 0.15181512 0.11033067 0.12400488 0.08870633 0.13352397 0.26353037 0.3272538 0.14960985 0.13939558 0.18357264 0.2822431 0.1359035 0.21161304 0.17559159 0.15614186 0.12239784 0.20635034 0.29682094 0.16170157 0.20119193 0.109414674 0.080017455 0.16759893 0.23782934 0.20443244 0.098879434 0.22956601 0.10675992 0.1548107 0.15232894 0.27190748 0.20040506 0.25038806 0.18555795 0.15268967 0.10031254 0.17918661 0.25400913 0.2117449 0.13486962 0.09878864 0.14665712 0.2551643 0.2651979 0.17893893,0.0007660951 0.0014629316 0.0014381695 0.0014364234 0.0011800674 0.00052222965 0.0011134009 0.0010734659 0.0014123474 0.0014288363 0.0018708201 0.0012764537 0.0010875757 0.0010396127 0.0015749763 0.00242123 0.0016607835 0.0017612826 0.0015996093 0.0011953947 0.00086874544 0.00097641634 0.00069847505 0.0010513698 0.0020750423 0.0025768015 0.0011780303 0.001097603 0.0014454538 0.0022223867 0.0010701063 0.0016662445 0.0013826109 0.0012294635 0.0009637625 0.0016248059 0.0023371729 0.0012732408 0.0015841884 0.00086153287 0.0006300587 0.0013196766 0.001872672 0.0016097042 0.0007785782 0.0018076063 0.0008406293 0.0012189818 0.0011994404 0.0021410037 0.0015779926 0.0019715596 0.0014610862 0.0012022809 0.00078986253 0.0014109182 0.0020000718 0.0016672827 0.0010619655 0.0007778633 0.0011547805 0.0020091676 0.0020881724 0.0014089679,
19,64,,,0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635,15 14 14 14 14 15 14 14 14 14 14 14 14 14 14 13 14 14 14 14 15 14 15 14 13 13 14 14 14 13 14 14 14 14 15 14 13 14 14 15 15 14 14 14 15 14 15 14 14 13 14 13 14 14 15 14 13 14 14 15 14 13 13 14
24,1x1x64x64,0.2733902 0.29675 0.6532271 0.3968413 0.39510626 0.45952395 0.6224696 0.29331374 0.44612998 0.3399881 0.39378357 0.56186646 0.5541762 0.44852674 0.43781525 0.31892335 0.36904562 0.40449572 0.34100565 0.48432893 0.4442317 0.5089938 0.4264877 0.49112555 0.35070845 0.49737033 0.43875727 0.66374147 0.35265723 0.55077106 0.36649948 0.4240241 0.25647384 0.47093543 0.27571627 0.2960636 0.40210885 0.4859716 0.38223588 0.36253232 0.6136495 0.32332343 0.35155705 0.32870513 0.5325383 0.34042966 0.36266318 0.5182711 0.258072 0.2425037 0.33848947 0.36966318 0.27066395 0.30938917 0.34621927 0.509272 0.3241331 0.2513385 0.31433767 0.35188448 0.41347107 0.5639289 0.59485 0.33494684,0.27335685 0.2967138 0.65314734 0.39679286 0.39505804 0.45946786 0.62239367 0.29327795 0.44607553 0.3399466 0.39373553 0.56179786 0.5541086 0.44847202 0.4377618 0.31888443 0.36900058 0.40444633 0.34096402 0.4842698 0.44417748 0.5089317 0.42643565 0.49106562 0.35066566 0.49730965 0.43870375 0.66366047 0.3526142 0.5507039 0.36645475 0.42397234 0.25644252 0.47087795 0.27568263 0.29602745 0.4020598 0.4859123 0.3821892 0.3624881 0.61357456 0.32328397 0.35151416 0.32866502 0.53247327 0.34038812 0.36261892 0.51820785 0.2580405 0.24247411 0.33844817 0.36961806 0.2706309 0.3093514 0.346177 0.5092099 0.32409352 0.25130785 0.31429932 0.35184154 0.41342062 0.5638601 0.5947774 0.33490598,0.0021524162 0.002336329 0.0051428922 0.0031243532 0.0031106933 0.0036178571 0.0049007377 0.002309275 0.0035124058 0.002676745 0.0031002797 0.0044236053 0.00436306 0.0035312758 0.0034469434 0.002510901 0.0029055164 0.0031846168 0.002684756 0.003813148 0.0034974604 0.004007336 0.003357761 0.0038666585 0.002761147 0.003915824 0.0034543602 0.005225673 0.0027764898 0.004336251 0.0028854704 0.003338365 0.0020192324 0.0037077004 0.0021707295 0.0023309248 0.003165825 0.003826081 0.0030093638 0.0028542369 0.004831296 0.002545543 0.002767828 0.0025879135 0.004192703 0.0026802213 0.0028552671 0.0040803766 0.0020318148 0.0019092449 0.0026649463 0.0029103784 0.002130952 0.0024358379 0.0027258033 0.0040095267 0.0025519175 0.001978802 0.0024747977 0.0027704057 0.0032552804 0.0044398434 0.004683287 0.002637055,
25,64,,,0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014 0.0077517014,14 14 13 14 14 14 13 14 14 14 14 13 13 14 14 14 14 14 14 14 14 13 14 14 14 13 14 13 14 13 14 14 14 14 14 14 14 14 14 14 13 14 14 14 13 14 14 13 14 15 14 14 14 14 14 13 14 14 14 14 14 13 13 14
34,3x3x32x16,0.2699488 0.17646784 0.31166568 0.2017891 0.30670574 0.20902734 0.2683798 0.27465662 0.1822012 0.27962 0.114479385 0.24202654 0.326288 0.20518613 0.33627847 0.1971836,0.26991585 0.17644629 0.31162763 0.20176448 0.3066683 0.20900182 0.26834705 0.27462313 0.18217897 0.27958587 0.114465415 0.241997 0.3262482 0.20516108 0.33623743 0.19715953,0.0021253217 0.0013893408 0.002453761 0.0015886967 0.002414711 0.0016456837 0.0021129688 0.002162387 0.0014344801 0.0022014636 0.0009013025 0.0019054882 0.0025688834 0.0016154415 0.002647539 0.0015524372,
35,16,,,0.005637976 0.005637976 0.005637976 0.005637976 0.005637976 0.005637976 0.005637976 0.005637976 0.005637976 0.005637976 0.005637976 0.005637976 0.005637976 0.005637976 0.005637976 0.005637976,13 14 13 14 13 14 13 13 14 13 15 14 13 14 13 14
40,3x3x16x32,0.39227924 0.64813197 0.2118045 0.20934793 0.1740741 0.24989775 0.16576831 0.31041786 0.27848712 0.20280874 0.24712165 0.20388424 0.31539407 0.33214524 0.25424483 0.32902974 0.23883656 0.2047912 0.21622303 0.27198792 0.262069 0.26919046 0.23542927 0.25928023 0.2558527 0.22583888 0.23407727 0.21218704 0.21991473 0.28695938 0.3128621 0.19914795,0.39223135 0.6480529 0.21177866 0.2093224 0.17405286 0.24986726 0.16574809 0.31037998 0.2784531 0.20278399 0.24709149 0.20385936 0.3153556 0.3321047 0.2542138 0.32898957 0.23880741 0.20476621 0.21619664 0.27195472 0.262037 0.2691576 0.23540054 0.25924858 0.2558215 0.22581133 0.23404871 0.21216114 0.2198879 0.28692436 0.31282392 0.19912365,0.0030884359 0.0051027783 0.0016675484 0.0016482078 0.001370495 0.0019674588 0.0013051031 0.002443937 0.0021925443 0.0015967243 0.0019456022 0.0016051919 0.002483115 0.0026149978 0.0020016835 0.002590469 0.0018803733 0.0016123324 0.0017023358 0.0021413758 0.0020632835 0.0021193512 0.0018535475 0.0020413275 0.0020143425 0.001778042 0.0018429032 0.0016705601 0.0017314007 0.002259247 0.0024631806 0.0015679027,
41,32,,,0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635 0.0062016635,14 13 15 15 15 14 15 14 14 15 15 15 14 14 14 14 15 15 15 14 14 14 15 14 14 15 15 15 15 14 14 15
