ftmp_id,size,max,sat,normratio,scale,exp
0,1x500x500x3,255 255 255,254.96889 254.96889 254.96889,,0,0
2,11x640x640x3,255 255 255,254.96889 254.96889 254.96889,,0,0
14,11x320x320x32,51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917 51.69917,25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585 25.849585,,1,0
16,11x320x320x32,49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748 49.812748,21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837 21.793837,,1,0
20,11x160x160x64,38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062 38.623062,20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208 20.518208,,1,0
22,11x160x160x64,26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346 26.037346,10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267 10.578267,,1,0
26,11x160x160x64,33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694 33.612694,16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347 16.806347,,1,0
28,11x160x160x64,26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926,12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761,,1,0
30,11x160x160x32,26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926 26.588926,12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761 12.463761,,1,0
32,11x160x160x32,22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886 22.43886,11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474 11.920474,,1,0
