ftmp_id,size,max,sat,normratio,scale,exp
0,1x500x500x3,255 255 255,254.96889 254.96889 254.96889,,0,0
2,11x640x640x3,255 255 255,254.96889 254.96889 254.96889,,0,0
14,11x320x320x32,101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942,60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822 60.559822,,1,0
16,11x320x320x32,101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942 101.99942,70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934 70.119934,,1,0
20,11x160x160x64,180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895 180.74895,73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395 73.433395,,1,0
22,11x160x160x64,154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772 154.47772,62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011 62.76011,,1,0
26,11x160x160x64,101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812 101.97812,44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698 44.61698,,1,0
28,11x160x160x64,22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665,13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469 13.471469,,1,0
30,11x160x160x32,22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665 22.689665,15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105 15.598105,,1,0
32,11x160x160x32,15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992 15.682992,10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339 10.781339,,1,0
