op_id,op_type,dtype,variance,cal_amount_percent,value_range_in_bits,saturation,per
0,icraft::xir::InputNode,fp32,8195.37,0.00%,32;32,kld;kld,channel;tensor
1,icraft::xir::ResizeNode,fp32,5205.08,0.00%,32;32,kld;kld,channel;tensor
5,icraft::xir::Conv2dNode,int8,38.83,0.85%,8;8,kld;kld,channel;tensor
6,icraft::xir::SiLUNode,int8,7.16,0.00%,8;8,kld;kld,channel;tensor
7,icraft::xir::Conv2dNode,int8,18.40,4.59%,8;8,kld;kld,channel;tensor
8,icraft::xir::SiLUNode,int8,7.98,0.00%,8;8,kld;kld,channel;tensor
9,icraft::xir::Conv2dNode,int8,5.28,1.01%,8;8,kld;kld,channel;tensor
10,icraft::xir::SiLUNode,int8,1.37,0.00%,8;8,kld;kld,channel;tensor
13,icraft::xir::Conv2dNode,int8,1.12,1.15%,8;8,kld;kld,channel;tensor
14,icraft::xir::SiLUNode,int8,0.61,0.00%,8;8,kld;kld,channel;tensor
15,icraft::xir::Conv2dNode,int8,3.76,1.15%,8;8,kld;kld,channel;tensor
16,icraft::xir::SiLUNode,int8,2.75,0.00%,8;8,kld;kld,channel;tensor
17,icraft::xir::AddNode,int8,3.92,0.00%,8;8,kld;kld,channel;tensor
18,icraft::xir::ConcatNode,int8,2.71,0.00%,8;8,kld;kld,channel;tensor
19,icraft::xir::Conv2dNode,int8,1.36,3.05%,8;8,kld;kld,channel;tensor
20,icraft::xir::SiLUNode,int8,0.19,0.00%,8;8,kld;kld,channel;tensor
21,icraft::xir::Conv2dNode,int8,1.13,9.20%,8;8,kld;kld,channel;tensor
22,icraft::xir::SiLUNode,int8,0.46,0.00%,8;8,kld;kld,channel;tensor
23,icraft::xir::Conv2dNode,int8,0.99,1.02%,8;8,kld;kld,channel;tensor
24,icraft::xir::SiLUNode,int8,0.37,0.00%,8;8,kld;kld,channel;tensor
27,icraft::xir::Conv2dNode,int8,0.73,1.15%,8;8,kld;kld,channel;tensor
28,icraft::xir::SiLUNode,int8,0.29,0.00%,8;8,kld;kld,channel;tensor
29,icraft::xir::Conv2dNode,int8,1.02,1.15%,8;8,kld;kld,channel;tensor
30,icraft::xir::SiLUNode,int8,0.55,0.00%,8;8,kld;kld,channel;tensor
31,icraft::xir::AddNode,int8,0.76,0.00%,8;8,kld;kld,channel;tensor
32,icraft::xir::ConcatNode,int8,0.54,0.00%,8;8,kld;kld,channel;tensor
33,icraft::xir::Conv2dNode,int8,0.82,3.06%,8;8,kld;kld,channel;tensor
34,icraft::xir::SiLUNode,int8,0.07,0.00%,8;8,kld;kld,channel;tensor
35,icraft::xir::Conv2dNode,int8,1.17,9.20%,8;8,kld;kld,channel;tensor
36,icraft::xir::SiLUNode,int8,0.30,0.00%,8;8,kld;kld,channel;tensor
37,icraft::xir::Conv2dNode,int8,0.91,1.02%,8;8,kld;kld,channel;tensor
38,icraft::xir::SiLUNode,int8,0.25,0.00%,8;8,kld;kld,channel;tensor
41,icraft::xir::Conv2dNode,int8,0.40,0.13%,8;8,kld;kld,channel;tensor
42,icraft::xir::SiLUNode,int8,0.10,0.00%,8;8,kld;kld,channel;tensor
43,icraft::xir::Conv2dNode,int8,0.92,0.57%,8;8,kld;kld,channel;tensor
44,icraft::xir::SiLUNode,int8,0.13,0.00%,8;8,kld;kld,channel;tensor
45,icraft::xir::Conv2dNode,int8,0.77,0.57%,8;8,kld;kld,channel;tensor
46,icraft::xir::SiLUNode,int8,0.14,0.00%,8;8,kld;kld,channel;tensor
47,icraft::xir::AddNode,int8,0.22,0.00%,8;8,kld;kld,channel;tensor
48,icraft::xir::Conv2dNode,int8,0.78,0.57%,8;8,kld;kld,channel;tensor
49,icraft::xir::SiLUNode,int8,0.12,0.00%,8;8,kld;kld,channel;tensor
50,icraft::xir::Conv2dNode,int8,1.92,0.57%,8;8,kld;kld,channel;tensor
51,icraft::xir::SiLUNode,int8,1.04,0.00%,8;8,kld;kld,channel;tensor
52,icraft::xir::AddNode,int8,1.49,0.00%,8;8,kld;kld,channel;tensor
53,icraft::xir::Conv2dNode,int8,1.17,0.13%,8;8,kld;kld,channel;tensor
54,icraft::xir::SiLUNode,int8,0.28,0.00%,8;8,kld;kld,channel;tensor
55,icraft::xir::ConcatNode,int8,1.17,0.00%,8;8,kld;kld,channel;tensor
56,icraft::xir::Conv2dNode,int8,1.08,0.25%,8;8,kld;kld,channel;tensor
